iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CYM,North America,Cayman Islands,2020-03-13,1.0,1.0,,,,,15.038,15.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-14,1.0,0.0,,,,,15.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-15,1.0,0.0,,,,,15.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-16,1.0,0.0,,1.0,1.0,,15.038,0.0,,15.038,15.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-17,1.0,0.0,,1.0,0.0,,15.038,0.0,,15.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-18,1.0,0.0,0.143,1.0,0.0,0.143,15.038,0.0,2.148,15.038,0.0,2.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-19,3.0,2.0,0.429,1.0,0.0,0.143,45.114,30.076,6.445,15.038,0.0,2.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-20,3.0,0.0,0.286,1.0,0.0,0.143,45.114,0.0,4.297,15.038,0.0,2.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-21,3.0,0.0,0.286,1.0,0.0,0.143,45.114,0.0,4.297,15.038,0.0,2.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-22,3.0,0.0,0.286,1.0,0.0,0.143,45.114,0.0,4.297,15.038,0.0,2.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-23,5.0,2.0,0.571,1.0,0.0,0.0,75.19,30.076,8.593,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-24,6.0,1.0,0.714,1.0,0.0,0.0,90.228,15.038,10.741,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-25,8.0,2.0,1.0,1.0,0.0,0.0,120.304,30.076,15.038,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-26,8.0,0.0,0.714,1.0,0.0,0.0,120.304,0.0,10.741,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-27,8.0,0.0,0.714,1.0,0.0,0.0,120.304,0.0,10.741,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-28,8.0,0.0,0.714,1.0,0.0,0.0,120.304,0.0,10.741,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-29,8.0,0.0,0.714,1.0,0.0,0.0,120.304,0.0,10.741,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-30,12.0,4.0,1.0,1.0,0.0,0.0,180.457,60.152,15.038,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-03-31,14.0,2.0,1.143,1.0,0.0,0.0,210.533,30.076,17.186,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-01,22.0,8.0,2.0,1.0,0.0,0.0,330.837,120.304,30.076,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-02,28.0,6.0,2.857,1.0,0.0,0.0,421.065,90.228,42.966,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-03,28.0,0.0,2.857,1.0,0.0,0.0,421.065,0.0,42.966,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-04,35.0,7.0,3.857,1.0,0.0,0.0,526.332,105.266,58.004,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-05,35.0,0.0,3.857,1.0,0.0,0.0,526.332,0.0,58.004,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-06,39.0,4.0,3.857,1.0,0.0,0.0,586.484,60.152,58.004,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-07,45.0,6.0,4.429,1.0,0.0,0.0,676.712,90.228,66.597,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-08,45.0,0.0,3.286,1.0,0.0,0.0,676.712,0.0,49.411,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-09,45.0,0.0,2.429,1.0,0.0,0.0,676.712,0.0,36.521,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-10,45.0,0.0,2.429,1.0,0.0,0.0,676.712,0.0,36.521,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-11,45.0,0.0,1.429,1.0,0.0,0.0,676.712,0.0,21.483,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-12,53.0,8.0,2.571,1.0,0.0,0.0,797.016,120.304,38.669,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-13,53.0,0.0,2.0,1.0,0.0,0.0,797.016,0.0,30.076,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-14,54.0,1.0,1.286,1.0,0.0,0.0,812.054,15.038,19.335,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-15,54.0,0.0,1.286,1.0,0.0,0.0,812.054,0.0,19.335,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-16,60.0,6.0,2.143,1.0,0.0,0.0,902.283,90.228,32.224,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-17,61.0,1.0,2.286,1.0,0.0,0.0,917.321,15.038,34.373,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-18,61.0,0.0,2.286,1.0,0.0,0.0,917.321,0.0,34.373,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-19,61.0,0.0,1.143,1.0,0.0,0.0,917.321,0.0,17.186,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-20,66.0,5.0,1.857,1.0,0.0,0.0,992.511,75.19,27.928,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-21,66.0,0.0,1.714,1.0,0.0,0.0,992.511,0.0,25.78,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-22,66.0,0.0,1.714,1.0,0.0,0.0,992.511,0.0,25.78,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-23,66.0,0.0,0.857,1.0,0.0,0.0,992.511,0.0,12.89,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-24,70.0,4.0,1.286,1.0,0.0,0.0,1052.663,60.152,19.335,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-25,70.0,0.0,1.286,1.0,0.0,0.0,1052.663,0.0,19.335,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-26,70.0,0.0,1.286,1.0,0.0,0.0,1052.663,0.0,19.335,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-27,70.0,0.0,0.571,1.0,0.0,0.0,1052.663,0.0,8.593,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-28,70.0,0.0,0.571,1.0,0.0,0.0,1052.663,0.0,8.593,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-29,73.0,3.0,1.0,1.0,0.0,0.0,1097.777,45.114,15.038,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-04-30,73.0,0.0,1.0,1.0,0.0,0.0,1097.777,0.0,15.038,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-01,74.0,1.0,0.571,1.0,0.0,0.0,1112.815,15.038,8.593,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-02,74.0,0.0,0.571,1.0,0.0,0.0,1112.815,0.0,8.593,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-03,74.0,0.0,0.571,1.0,0.0,0.0,1112.815,0.0,8.593,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-04,75.0,1.0,0.714,1.0,0.0,0.0,1127.853,15.038,10.741,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-05,78.0,3.0,1.143,1.0,0.0,0.0,1172.968,45.114,17.186,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-06,78.0,0.0,0.714,1.0,0.0,0.0,1172.968,0.0,10.741,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-07,80.0,2.0,1.0,1.0,0.0,0.0,1203.044,30.076,15.038,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-08,81.0,1.0,1.0,1.0,0.0,0.0,1218.082,15.038,15.038,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-09,81.0,0.0,1.0,1.0,0.0,0.0,1218.082,0.0,15.038,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-10,81.0,0.0,1.0,1.0,0.0,0.0,1218.082,0.0,15.038,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-11,84.0,3.0,1.286,1.0,0.0,0.0,1263.196,45.114,19.335,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-12,85.0,1.0,1.0,1.0,0.0,0.0,1278.234,15.038,15.038,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-13,86.0,1.0,1.143,1.0,0.0,0.0,1293.272,15.038,17.186,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-14,93.0,7.0,1.857,1.0,0.0,0.0,1398.538,105.266,27.928,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-15,94.0,1.0,1.857,1.0,0.0,0.0,1413.576,15.038,27.928,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-16,94.0,0.0,1.857,1.0,0.0,0.0,1413.576,0.0,27.928,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-17,94.0,0.0,1.857,1.0,0.0,0.0,1413.576,0.0,27.928,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-18,94.0,0.0,1.429,1.0,0.0,0.0,1413.576,0.0,21.483,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-19,111.0,17.0,3.714,1.0,0.0,0.0,1669.223,255.647,55.856,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-20,111.0,0.0,3.571,1.0,0.0,0.0,1669.223,0.0,53.707,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-21,121.0,10.0,4.0,1.0,0.0,0.0,1819.604,150.38,60.152,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-22,129.0,8.0,5.0,1.0,0.0,0.0,1939.908,120.304,75.19,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-23,129.0,0.0,5.0,1.0,0.0,0.0,1939.908,0.0,75.19,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-24,129.0,0.0,5.0,1.0,0.0,0.0,1939.908,0.0,75.19,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-25,134.0,5.0,5.714,1.0,0.0,0.0,2015.098,75.19,85.932,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-26,137.0,3.0,3.714,1.0,0.0,0.0,2060.212,45.114,55.856,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-27,140.0,3.0,4.143,1.0,0.0,0.0,2105.326,45.114,62.3,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-28,140.0,0.0,2.714,1.0,0.0,0.0,2105.326,0.0,40.818,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-29,141.0,1.0,1.714,1.0,0.0,0.0,2120.365,15.038,25.78,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-30,141.0,0.0,1.714,1.0,0.0,0.0,2120.365,0.0,25.78,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-05-31,141.0,0.0,1.714,1.0,0.0,0.0,2120.365,0.0,25.78,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-01,150.0,9.0,2.286,1.0,0.0,0.0,2255.707,135.342,34.373,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-02,151.0,1.0,2.0,1.0,0.0,0.0,2270.745,15.038,30.076,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-03,156.0,5.0,2.286,1.0,0.0,0.0,2345.935,75.19,34.373,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-04,160.0,4.0,2.857,1.0,0.0,0.0,2406.087,60.152,42.966,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-05,164.0,4.0,3.286,1.0,0.0,0.0,2466.24,60.152,49.411,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-06,164.0,0.0,3.286,1.0,0.0,0.0,2466.24,0.0,49.411,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-07,164.0,0.0,3.286,1.0,0.0,0.0,2466.24,0.0,49.411,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-08,171.0,7.0,3.0,1.0,0.0,0.0,2571.506,105.266,45.114,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-09,176.0,5.0,3.571,1.0,0.0,0.0,2646.696,75.19,53.707,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-10,180.0,4.0,3.429,1.0,0.0,0.0,2706.848,60.152,51.559,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-11,186.0,6.0,3.714,1.0,0.0,0.0,2797.077,90.228,55.856,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-12,187.0,1.0,3.286,1.0,0.0,0.0,2812.115,15.038,49.411,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-13,187.0,0.0,3.286,1.0,0.0,0.0,2812.115,0.0,49.411,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-14,187.0,0.0,3.286,1.0,0.0,0.0,2812.115,0.0,49.411,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-15,187.0,0.0,2.286,1.0,0.0,0.0,2812.115,0.0,34.373,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-16,193.0,6.0,2.429,1.0,0.0,0.0,2902.343,90.228,36.521,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
CYM,North America,Cayman Islands,2020-06-17,193.0,0.0,1.857,1.0,0.0,0.0,2902.343,0.0,27.928,15.038,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,,,,
